,user_id,time,matrix
0,23846632,2021-02-28,"[(6, 'black'), (5, 'wa'), (3, 'ray8fisher'), (3, 'racism'), (3, 'investigation'), (2, 'angelo'), (2, 'fuck'), (2, 'many'), (2, 'police'), (2, 'the_fact')]"
1,23846632,2021-03-31,"[(4, '3'), (3, 'wa'), (3, 'lol'), (3, 'people'), (3, 'see'), (3, 'get'), (3, 'year'), (3, 'black'), (3, 'one'), (3, '6')]"
2,71010692,2021-03-31,"[(4, 'patch'), (3, 'wa'), (3, 'spider'), (3, 'crab'), (3, 'persevering'), (2, 'ago'), (2, 'friend'), (2, 'mlb'), (2, 'love'), (2, 'show')]"
3,73653137,2021-02-28,"[(1, 'pla'), (1, 'nt'), (1, 'even'), (1, 'a_pla'), (0, 'tcospwpugjnua'), (0, '_succuuubus'), (0, 'justnonso_'), (0, 'manyy'), (0, 'the_bakersfield'), (0, 'leftwich')]"
4,77228729,2021-02-28,"[(13, 'one'), (10, 'nt'), (9, 'like'), (8, 'wa'), (8, 'time'), (7, 'alex_cosplay'), (7, 'make'), (7, 'first'), (6, 'know'), (6, 'think')]"
5,77228729,2021-03-31,"[(5, 'alex_cosplay'), (4, '_alex_cosplay'), (4, 'nt'), (3, 'though'), (3, 'get'), (3, 'got'), (3, 'time'), (3, 'like'), (2, 'song'), (2, 'wait')]"
6,96973981,2021-02-28,"[(2, 'doce'), (2, 'uh'), (1, 'finalmente'), (1, 'spxc_ii'), (1, 'tcovlvy3wuh6h'), (1, 'meagankenrekt'), (1, 'uber'), (1, 'house'), (1, 'tco3nphtil79a'), (1, 'byunnymen')]"
7,96973981,2021-03-31,"[(2, 'march'), (2, '1st'), (2, 'one'), (1, 'working'), (1, 'spent'), (1, 'drewbarrymoretv'), (1, 'meghan'), (1, 'kind'), (1, 'reiagz'), (1, 'no_one')]"
8,184671594,2020-10-31,"[(5, 'wa'), (4, 'oniontaker'), (4, 't_yping9'), (3, 'simonodocopp'), (3, 'would'), (3, 'nt'), (3, '_simonodocopp'), (3, 'thought'), (3, 'really'), (3, 'calumkirkcaldy')]"
9,184671594,2020-11-30,"[(3, 'oniontaker'), (2, '_calumkirkcaldy'), (2, 'coming'), (2, 'go'), (2, 'look'), (2, '_drmubpepper'), (2, 'figured'), (2, 'also'), (2, '_kurucy'), (2, 'yikes')]"
10,184671594,2020-12-31,"[(9, 'wa'), (7, 'oniontaker'), (5, 'see'), (5, 'one'), (5, 'chenacty'), (4, 'lol'), (4, 'like'), (3, 'go'), (3, 'last'), (3, '_oniontaker')]"
11,184671594,2021-01-31,"[(5, 'culture'), (5, 'calkirkcaldy'), (5, '_calkirkcaldy'), (4, 'nt'), (3, 'djjenniee'), (2, 'wa'), (2, 'fan'), (2, 'lck'), (2, 'anything'), (2, 'got')]"
12,184671594,2021-02-28,"[(4, 'calkirkcaldy'), (3, '_calkirkcaldy'), (3, 'let'), (2, 'nice'), (2, 'get'), (2, 'samhime_'), (1, 'tcow3d4erpssz'), (1, 'america'), (1, 'spain'), (1, 'taeyeon')]"
13,184671594,2021-03-31,"[(1, 'ashleighmn_end'), (1, 'never'), (1, 'end'), (1, '2023'), (1, 'ashleighmn'), (1, 'fashion'), (1, 'king'), (1, '_scream_bby'), (1, 'chenacty'), (1, 'djjenniee')]"
14,220082108,2021-03-31,"[(2, 'sanremo2021'), (1, 'cost'), (1, 'protect'), (1, 'coma_cose_dress'), (1, 'reference'), (1, 'coma_cose'), (1, 'fulminacci'), (1, 'dress'), (1, 'sanremo2021_https'), (1, 'tcovbo5pskmt3')]"
16,223135996,2021-03-31,"[(1, 'tcoqtcrmbkhfa'), (1, 'dog'), (1, 'this_tweet'), (1, '1'), (1, 'every'), (1, 'rainforesttrust'), (1, 'incredibly'), (1, '15000'), (1, 'jamesgunn'), (1, 'donate')]"
15,223135996,2021-02-28,"[(2, 'startrek'), (1, 'legacy'), (1, 'every'), (1, 'startrekfamily'), (1, 'nimoy'), (1, 'llap_https'), (1, 'leonard'), (1, 'today'), (1, 'life'), (1, 'day')]"
17,574646646,2021-02-28,"[(19, 'watch'), (13, 'fire'), (13, 'night'), (12, 'back'), (11, 'good'), (11, 'evening'), (10, 'crew'), (10, 'tomorrow'), (10, 'handing'), (10, 'mobilised')]"
18,574646646,2021-03-31,"[(8, 'watch'), (6, 'day'), (5, 'crew'), (5, 'white'), (5, 'white_watch'), (5, 'morning'), (5, 'good'), (5, 'fire'), (5, 'back'), (5, 'roystonfire')]"
19,1317169154,2021-02-28,"[(10, 'lol'), (10, 'lmao'), (8, 'love'), (7, 'today'), (7, 'get'), (7, 'like'), (6, 'fuck'), (6, 'feel'), (6, 'work'), (5, 'stop')]"
20,1317169154,2021-03-31,"[(5, 'get'), (4, 'wa'), (3, 'love'), (3, 'shit'), (3, 'day'), (2, 'always'), (2, 'go'), (2, 'hell'), (2, 'lol'), (2, 'lmao')]"
21,2256849367,2021-02-28,"[(11, 'get'), (10, 'love'), (8, 'like'), (7, 'girl'), (7, 'na'), (7, 'new'), (6, 'style'), (6, '_t'), (6, 'bitch'), (6, 'gt')]"
22,2256849367,2021-03-31,"[(3, 'dog'), (3, 'shit'), (3, '_t'), (3, 'got'), (3, 'bad'), (2, 'march'), (2, 'pay'), (2, 'ebonierayyyy'), (2, 'fucked'), (2, 'this_place')]"
23,3225999715,2021-02-28,"[(9, 'facebookcomcokypiyo'), (9, 'animal'), (9, 'finding'), (9, 'spain'), (9, 'montserrat'), (9, 'ttps'), (9, 'thief'), (9, 'tapatxicurrently'), (9, 'herethe'), (9, 'wa')]"
24,3225999715,2021-03-31,"[(7, 'wa'), (5, 'tcovurswrldtp'), (5, 'facebookcomcokypiyo'), (5, 'iphoneprobably'), (5, 'ago'), (5, 'animal'), (5, 'finding'), (5, 'spain'), (5, 'montserrat'), (5, 'ttps')]"
36,708779794972811264,2021-03-31,"[(1, 'kyalbr'), (1, '_t'), (1, 'revenge'), (1, 'mother'), (1, 'tabloid'), (1, 'family'), (1, 'f'), (1, 'getting'), (1, 'keep'), (1, 'harry')]"
35,708779794972811264,2021-02-28,"[(1, 'a_person'), (1, 'reward'), (1, 'libramoonstone'), (1, 'marie'), (1, 'kiss'), (1, 'amp'), (1, 'a_reward'), (1, 'thinking'), (1, 'requirement'), (1, 'place')]"
34,708779794972811264,2021-01-31,"[(1, 'love'), (1, 'verogildo'), (1, 'cosimarchive'), (1, 'cosimarchive_love'), (1, '_verogildo'), (0, 'tcospwpugjnua'), (0, '_succuuubus'), (0, 'justnonso_'), (0, 'manyy'), (0, 'the_bakersfield')]"
33,708779794972811264,2020-12-31,"[(1, 'miley'), (1, 'cyrus'), (1, 'de'), (1, 'repeat'), (1, 'angel'), (1, 'like'), (0, 'tcospwpugjnua'), (0, '_succuuubus'), (0, 'justnonso_'), (0, 'manyy')]"
32,708779794972811264,2020-11-30,"[(1, '_kevinjaloma'), (1, 'regret'), (1, 'verogildo'), (1, 'kevinjaloma'), (0, 'tcospwpugjnua'), (0, '_succuuubus'), (0, 'justnonso_'), (0, 'manyy'), (0, 'the_bakersfield'), (0, 'leftwich')]"
31,708779794972811264,2020-10-31,"[(2, 'la'), (1, '_karlablancoa'), (1, 'love'), (1, 'red_wedding'), (1, 'red'), (1, '_kevinjaloma'), (1, 'wedding'), (1, 'verogildo'), (1, 'cosmic_love'), (1, 'cosmic')]"
30,708779794972811264,2020-09-30,"[(1, 'semu'), (1, '_sjpeace_'), (1, 'perspective'), (1, 'chris'), (1, 'heaven'), (1, 'tcog0diemqqbh'), (1, 'earth'), (1, 'chris_buckgreg'), (1, 'buckgreg'), (1, 'changing')]"
29,708779794972811264,2020-08-31,"[(1, 'season'), (1, 'arriving'), (1, 'love'), (1, 'gilliana'), (1, 'join'), (1, 'thecrownnetflix'), (1, 'crown'), (1, 'emma'), (1, 'else'), (1, 'verogildo')]"
28,708779794972811264,2020-07-31,"[(1, 'tcoqhsjvx5aye'), (1, 'changemymind'), (1, 'la'), (1, 'beautiful'), (1, 'tcodgtz7qmlok'), (1, 'bit'), (1, 'hilo_https'), (1, 'deep'), (1, 'a_person'), (1, 'tco78csnftseb')]"
27,708779794972811264,2020-06-30,"[(2, 'verogildo'), (2, 'like'), (1, 'anymore'), (1, 'song'), (1, 'know'), (1, 'movie'), (1, 'a_movie'), (1, 'angry'), (1, 'watch'), (1, 'look')]"
26,708779794972811264,2020-05-31,"[(1, 'love'), (1, '_kevinjaloma'), (1, 'this_gurl'), (1, 'missed'), (1, 'tcokr4lz94sgq'), (1, 'gurl'), (1, 'kevinjaloma'), (1, 'real'), (0, 'tcospwpugjnua'), (0, '_succuuubus')]"
25,708779794972811264,2020-04-30,"[(2, 'im'), (2, 'de'), (1, 'tcohah7n9fdhb'), (1, 'cardy'), (1, 'maana'), (1, 'b'), (1, 'love'), (1, 'todo'), (1, 'real__cardy'), (1, 'a_partir')]"
37,778252179899576320,2020-09-30,"[(6, 'ctfcofficial'), (3, 'thedeanacademy'), (3, 'somerset'), (3, 'gloscricket'), (3, 'bake'), (3, 'child'), (2, 'ctfc_https'), (2, 'would'), (2, 'watch'), (2, 'gloucestershire')]"
38,778252179899576320,2020-10-31,"[(11, 'ctfcofficial'), (6, 'whoop'), (5, 'time'), (5, 'ctfc'), (4, 'one'), (4, 'bmstores'), (3, 'free'), (3, 'watch'), (3, 'giving'), (3, 'away')]"
39,778252179899576320,2020-11-30,"[(4, 'ctfcofficial'), (4, 'aldiuk'), (3, 'teamed'), (3, 'giveaway'), (3, 'win'), (3, 'bmstores'), (3, 'competition'), (3, 'time'), (3, 'far'), (2, 'stage')]"
40,778252179899576320,2020-12-31,"[(2, 'ctfcofficial'), (2, 'limited'), (2, 'family'), (1, 'season'), (1, 'toy'), (1, 'benshephard'), (1, 'tcopzzfq1ajka'), (1, 'disease'), (1, 'friend'), (1, 'medical')]"
41,778252179899576320,2021-01-31,"[(6, 'ctfcofficial'), (6, 'school'), (4, 'thedeanacademy'), (4, 'amp'), (4, 'mancity'), (4, 'shirt'), (4, 'signed'), (3, 'emiratesfacup'), (3, '1887redarmy'), (3, 'gutted')]"
42,778252179899576320,2021-02-28,"[(5, 'student'), (4, 'thedeanacademy'), (4, 'would'), (4, 'competition'), (4, 'time'), (4, 'computing_at'), (3, 'giving'), (3, 'away'), (3, 'even'), (3, 'chance')]"
43,778252179899576320,2021-03-31,"[(3, 'love'), (2, 'ctfcofficial'), (2, 'thedeanacademy'), (2, 'never'), (2, 'school'), (2, 'book'), (2, 'ha'), (2, 'per'), (2, 'u'), (1, 'commentary')]"
45,805394952834449408,2021-02-28,"[(6, 'u'), (6, 'like'), (4, 'love'), (4, 'amazing'), (4, 'tell'), (3, 'beautiful'), (3, 'know'), (3, 'loststar77'), (3, 'heart'), (3, 'feel')]"
46,805394952834449408,2021-03-31,"[(3, 'miss'), (3, 'mind'), (2, 'car'), (2, 'maybe'), (2, 'exist'), (2, 'say'), (2, 'change'), (2, 'literally'), (1, 'stop'), (1, 'normal')]"
44,805394952834449408,2021-01-31,"[(4, 'happy_birthday'), (4, 'birthday'), (4, 'happy'), (4, 'u'), (2, 'thought'), (2, 'vvangone'), (2, 'way'), (2, 'cutie'), (1, 'normal'), (1, 'jeyjey5x')]"
47,836949040684228608,2021-03-31,"[(4, 'draco'), (3, 'song'), (3, 'okay'), (3, '40'), (3, '_therapagenda'), (3, 'therapagenda'), (3, 'new'), (2, 'thug'), (2, 'lil'), (2, 'bitchiwas999')]"
48,858169121942499328,2021-03-31,"[(1, 'q'), (1, 'm1arcelo'), (1, 'tcowqiunxzlob'), (1, 'homem'), (0, 'tcospwpugjnua'), (0, '_succuuubus'), (0, 'justnonso_'), (0, 'manyy'), (0, 'the_bakersfield'), (0, 'leftwich')]"
49,867041159608115200,2021-01-31,"[(2, 'trump'), (2, 'capitol'), (2, 'faith'), (2, 'u'), (2, 'china'), (1, 'tcoexm1qpvgap'), (1, 'donaldjtrumpjr'), (1, '_donaldjtrumpjr'), (1, 'must'), (1, 'aricchen')]"
50,867041159608115200,2021-02-28,"[(11, 'trump'), (9, 'realpnavarro'), (9, 'president'), (7, 'mtgreenee'), (7, 'democrat'), (7, '_mtgreenee'), (6, 'biden'), (6, 'actbrigitte'), (5, 'mikepompeo'), (5, 'day')]"
51,867041159608115200,2021-03-31,"[(2, 'trump'), (2, 'qiushi'), (2, 'day'), (2, 'ha'), (2, 'still'), (2, 'chen'), (1, 'country'), (1, 'solo'), (1, 'save'), (1, 'b')]"
52,914152679168991232,2021-03-31,"[(4, 'publicity'), (3, 'a_eyitemi'), (3, '1'), (3, '10'), (3, 'stanford'), (3, 'oladejo_funmi'), (3, 'e'), (3, 'million'), (3, 'a_new_digital_currency'), (3, 'come')]"
53,935685013764485121,2021-03-31,"[(2, 'brink'), (1, 'gabii_andrade4'), (1, 'kkkkkkkkkk'), (1, 'kkalmeidaaa'), (1, 'uhumm'), (1, '_kkalmeidaaa'), (1, 'ca1000a_m'), (1, '_ca1000a_m'), (1, '_gabii_andrade4'), (1, 'kkkkkkkklkkkk')]"
54,959914482704281601,2020-08-31,"[(1, 'ney'), (1, 'king'), (1, 'tcoqqfq4wqqj0'), (0, 'tcospwpugjnua'), (0, '_succuuubus'), (0, 'justnonso_'), (0, 'manyy'), (0, 'the_bakersfield'), (0, 'leftwich'), (0, 'tcow3d4erpssz')]"
55,959914482704281601,2020-09-30,"[(1, 'afterthursday'), (1, 'tco7x6qh3dhxn'), (1, 'video'), (1, 'music'), (0, 'tcospwpugjnua'), (0, '_succuuubus'), (0, 'justnonso_'), (0, 'manyy'), (0, 'the_bakersfield'), (0, 'leftwich')]"
56,971899362107273216,2021-02-28,"[(6, 'e'), (4, 'n'), (3, 'day'), (3, 'happy'), (2, 'r'), (2, 'ffxiv'), (2, 'yet'), (2, 'cat'), (2, 'wa'), (2, 'happy_pokemon_day')]"
57,971899362107273216,2021-03-31,"[(4, 'art'), (4, 'favorite'), (4, 'work'), (3, 'genshinimpact'), (3, 'thank'), (3, 'type'), (3, 'wanted'), (3, 'get'), (3, 'u'), (3, 'version')]"
58,983350725655781377,2021-03-31,"[(2, 'video'), (2, 'woodz'), (1, 'vlive'), (1, 'fuck'), (1, 'tcokovn3i4wl9'), (1, '4m'), (1, 'naver'), (1, '42'), (1, 'indiegame'), (1, 'b')]"
64,1027561263163957249,2021-03-31,"[(1, 'drink'), (1, 'keta'), (1, '_nahuelgauto5_mucha'), (1, 'droga'), (1, 'purple'), (1, 'mucha'), (1, 'crack'), (1, 'nahuelgauto5'), (1, 'opio'), (1, 'sabor')]"
62,1027561263163957249,2020-10-31,"[(1, 'miami'), (1, 'god'), (0, 'tcospwpugjnua'), (0, '_succuuubus'), (0, 'justnonso_'), (0, 'manyy'), (0, 'the_bakersfield'), (0, 'leftwich'), (0, 'tcow3d4erpssz'), (0, 'tcoqtcrmbkhfa')]"
63,1027561263163957249,2021-01-31,"[(1, 'messirve'), (1, '_juanjo_rebu11'), (1, 'juanjo_rebu11'), (0, 'tcospwpugjnua'), (0, '_succuuubus'), (0, 'justnonso_'), (0, 'manyy'), (0, 'the_bakersfield'), (0, 'leftwich'), (0, 'tcow3d4erpssz')]"
60,1027561263163957249,2020-06-30,"[(1, 'a_short_story'), (1, 'story'), (1, 'realistic'), (1, 'short'), (1, 'tcock0speq9bu'), (1, 'argenrockets'), (1, 'tco2a5toajvto'), (1, 'memetiddies'), (1, 'realistic_https'), (0, 'tcospwpugjnua')]"
61,1027561263163957249,2020-07-31,"[(1, 'context'), (1, 'tcov6p64d5gug'), (1, 'birthday'), (1, 'tco4ed8ui96sx'), (1, 'spur'), (1, 'manuginobili'), (1, 'context_https'), (1, 'eurostep'), (1, 'celebrating'), (1, 'a_eurostep')]"
59,1027561263163957249,2020-05-31,"[(1, 'sidney'), (1, '42'), (1, 'sherman'), (1, 'calle'), (1, 'wallaby'), (1, 'p'), (0, 'tcospwpugjnua'), (0, '_succuuubus'), (0, 'justnonso_'), (0, 'manyy')]"
65,1039241305312911362,2021-02-28,"[(1, 'dawn'), (1, 'puso'), (1, 'fo'), (1, 'nt'), (1, 'dusk'), (1, 'whit'), (1, 'give'), (1, 'siculia'), (1, 'lucianov_13'), (1, 'till')]"
66,1039241305312911362,2021-03-31,"[(1, 'jaazcrosetto'), (1, 'girl'), (1, 'same_https'), (1, 'necesito_volver'), (1, 'ok'), (1, 'tcovcspnz7lm1'), (1, 'lowkeyalbert'), (1, 'al'), (1, 'volver'), (1, 'say')]"
67,1046746846691876864,2021-03-31,"[(5, 'wa'), (5, 'u'), (4, 'iam'), (4, 'know'), (4, 'ur'), (3, 'ifaridoon'), (3, 'sidharth_shukla'), (3, 'ho'), (3, 'ishehnaaz_gill'), (3, 'love')]"
73,1057789761170087936,2021-02-28,"[(8, 'causewereguys'), (3, 'got'), (3, 'team'), (3, 'ever'), (3, 'old'), (2, 'tonight'), (2, 'wa'), (2, 'fan'), (2, 'champ'), (2, 'world')]"
72,1057789761170087936,2021-01-31,"[(9, 'causewereguys'), (4, 'fan'), (4, 'kyrie'), (3, 'harden'), (3, 'wa'), (3, 'life'), (3, 'year'), (3, 'first'), (3, 'time'), (3, 'need')]"
71,1057789761170087936,2020-12-31,"[(15, 'causewereguys'), (5, 'man'), (4, 'good'), (3, 'bleacherreport'), (3, 'know'), (3, '_bleacherreport'), (3, 'got'), (3, 'like'), (2, 'ta'), (2, 'dude')]"
74,1057789761170087936,2021-03-31,"[(2, 'causewereguys'), (2, 'never'), (2, 'friday'), (2, 'amp'), (2, 'nike'), (2, 'hour'), (2, 'scary'), (2, 'drake'), (1, 'business'), (1, 'ann')]"
69,1057789761170087936,2020-10-31,"[(8, 'causewereguys'), (3, 'never'), (3, 'guy'), (3, 'get'), (2, 'every'), (2, 'house'), (2, 'wa'), (2, 'fan'), (2, 'kingjosiah54'), (2, 'lakers')]"
68,1057789761170087936,2020-09-30,"[(2, 'love'), (2, 'bodybuilder'), (1, 'causewereguys'), (1, 'pulling'), (1, 'seed'), (1, 'tcobljv4rjq4b'), (1, 'rocket'), (1, 'diamond'), (1, 'doc'), (1, '___colb___')]"
70,1057789761170087936,2020-11-30,"[(8, 'causewereguys'), (4, 'greatest'), (3, 'nt'), (3, 'game'), (3, 'bro'), (2, 'ta'), (2, 'friend'), (2, 'college'), (2, 'know'), (2, 'pee')]"
75,1105896313290399744,2021-03-31,"[(4, 'gt'), (2, 'count'), (2, 'drop'), (1, 'shrek'), (1, 'guaaap'), (1, 'mih_and_lemons'), (1, 'whosivhie'), (1, 'lmao_caroll'), (1, 'dead'), (1, 'tcoz2jnfkmm0b')]"
76,1106864828700712960,2021-03-31,"[(8, 'controller'), (5, 'stop'), (5, 'playstation'), (5, 'would'), (5, 'wa'), (5, 'outstanding'), (5, 'lazy'), (5, 'good'), (5, 'better'), (5, 'make')]"
77,1142604773214105600,2021-03-31,"[(3, 'start'), (3, 'coming'), (3, 'name'), (3, 'go'), (3, 'tuchel'), (3, 'talk'), (3, 'get'), (3, 'unbeaten'), (3, 'remix'), (3, 'man')]"
78,1159907644183916544,2021-02-28,"[(2, 'nice'), (2, 'bryannftn'), (2, '_bryannftn'), (1, 'b'), (1, 'nightwolvesofc'), (1, 'washed'), (1, 'v'), (1, 'qualify'), (1, 'coltgm_'), (1, 'tcotuejsy7h74')]"
79,1159907644183916544,2021-03-31,"[(3, 'e'), (3, 'coach'), (3, 'irikur4'), (2, 'rpgfpss'), (2, 'larokashi'), (2, 'magni1x'), (2, 'heat'), (1, 'b'), (1, '_gamersclubfn'), (1, 'squad')]"
80,1172624553757032448,2021-03-31,"[(2, 'e'), (1, '_babiftrene'), (1, 'a_r3bec4'), (1, 'story'), (1, 'coringa'), (1, 'live_delas'), (1, 'demonia'), (1, 'se'), (1, '_omgbabitan'), (1, 'oniybabitan')]"
89,1207774163613687808,2020-10-31,"[(4, 'game'), (3, 'coachnateturner'), (3, 'msidefootball'), (3, 'ol'), (2, 'highlight'), (2, 'dl'), (2, 'unk_football'), (1, 'season'), (1, 'the_game'), (1, 'minnstfootball')]"
93,1207774163613687808,2021-02-28,"[(10, 'thank'), (9, 'reaching'), (5, 'northeast'), (5, 'coachdrewcady'), (4, '2022'), (4, 'cnt'), (4, '510'), (4, 'class'), (4, 'wilbur'), (4, 'lincoln')]"
92,1207774163613687808,2021-01-31,"[(3, 'thank'), (3, 'great'), (2, 'thanks'), (2, 'gavinwilbur2'), (2, 'a_great_visit'), (2, 'reaching'), (2, 'get'), (2, 'eazymed_'), (2, 'year'), (2, 'play')]"
91,1207774163613687808,2020-12-31,"[(3, 'the_grind'), (3, 'texastechfb'), (3, 'team'), (3, 'grind'), (3, 'bisonrecruiting'), (2, 'novafootball'), (2, 'x2'), (2, '3'), (2, 'state'), (2, 'all_conference')]"
90,1207774163613687808,2020-11-30,"[(2, 'season'), (2, 'conference'), (2, 'lineman'), (1, 'tcoptbr6n7pbu'), (1, 'highlight'), (1, 'done'), (1, 'yet'), (1, 'led'), (1, 'honored'), (1, 'state_https')]"
88,1207774163613687808,2020-09-30,"[(5, 'highlight'), (5, 'game'), (5, 'doanefootball'), (4, 'coachnateturner'), (4, 'dl'), (4, 'midlandu_fb'), (4, 'ol'), (3, 'gvvikingfb'), (2, 'hcbroncofball'), (2, 'rocket')]"
94,1207774163613687808,2021-03-31,"[(5, 'thank'), (4, '_https'), (3, '2022'), (3, 'wilbur'), (3, 'lincoln'), (3, 'gavin'), (2, 'northeast'), (2, 'camp'), (2, 'cnt'), (2, 'msidefootball')]"
86,1207774163613687808,2020-07-31,"[(1, 'coachnateturner'), (1, 'tcoq9vnwcgr0r'), (1, 'camp'), (1, 'the_https'), (1, '270'), (1, 'nice'), (1, 'strongest'), (1, 'hang'), (1, 'lifting'), (1, 'squat')]"
81,1207774163613687808,2020-02-29,"[(1, 'uwplattevillefb'), (1, 'nwufootball'), (1, 'highlight'), (1, 'msidefootball'), (1, 'waynestfootball'), (1, 'dwtigerfootball'), (1, 'tco9sx9upofm2'), (1, 'doanefootball'), (1, '2019'), (0, 'tcospwpugjnua')]"
82,1207774163613687808,2020-03-31,"[(1, 'highlight'), (1, 'pitt_fb'), (1, '_pitt_fb'), (1, 'unifootball'), (1, 'tcoeoyawwtrel'), (1, 'augiefb'), (1, '2019'), (0, 'tcospwpugjnua'), (0, '_succuuubus'), (0, 'justnonso_')]"
87,1207774163613687808,2020-08-31,"[(1, 'season'), (1, 'coachnateturner'), (1, 'tcoekakcduy6b'), (1, 'every'), (1, 'midlandu_fb'), (1, 'interview'), (1, 'go'), (1, 'excited'), (1, 'embarrass'), (1, 'tconqcfamzl5z')]"
