,user_id,time,matrix
0,23846632,2021-02-28,"[(6, 'black'), (5, 'wa'), (3, 'ray8fisher'), (3, 'racism'), (3, 'investigation'), (2, 'angelo'), (2, 'fuck'), (2, 'many'), (2, 'police'), (2, 'the_fact')]"
1,23846632,2021-03-07,"[(4, '3'), (3, 'wa'), (3, 'lol'), (3, 'people'), (3, 'see'), (3, 'get'), (3, 'year'), (3, 'black'), (3, 'one'), (3, '6')]"
2,71010692,2021-03-07,"[(4, 'patch'), (3, 'wa'), (3, 'spider'), (3, 'crab'), (3, 'persevering'), (2, 'ago'), (2, 'friend'), (2, 'mlb'), (2, 'love'), (2, 'show')]"
3,73653137,2021-02-28,"[(1, 'pla'), (1, 'nt'), (1, 'even'), (1, 'a_pla'), (0, 'tcospwpugjnua'), (0, '_succuuubus'), (0, 'justnonso_'), (0, 'manyy'), (0, 'the_bakersfield'), (0, 'leftwich')]"
4,77228729,2021-02-07,"[(3, 'nt'), (3, 'one'), (2, 'know'), (2, 'band'), (2, 'chaarlimander'), (2, 'look'), (2, '_chaarlimander'), (2, 'feel'), (2, 'pretty'), (2, 'found')]"
5,77228729,2021-02-14,"[(3, 'alex_cosplay'), (3, 'one'), (3, 'time'), (2, 'know'), (2, 'would'), (2, '_alex_cosplay'), (2, 'wa'), (2, 'nt'), (2, 'girl'), (2, 'selador64')]"
6,77228729,2021-02-21,"[(4, 'one'), (4, 'mean'), (3, 'wa'), (3, 'people'), (3, 'make'), (3, 'like'), (3, 'much'), (2, 'start'), (2, 'yes'), (2, 'animal')]"
7,77228729,2021-02-28,"[(4, 'stream'), (3, 'go'), (3, 'nt'), (3, 'alex_cosplay'), (3, 'favorite'), (3, 'set'), (3, 'one'), (3, 'want'), (3, 'first'), (3, 'time')]"
8,77228729,2021-03-07,"[(5, 'alex_cosplay'), (4, '_alex_cosplay'), (4, 'nt'), (3, 'though'), (3, 'get'), (3, 'got'), (3, 'time'), (3, 'like'), (2, 'song'), (2, 'wait')]"
11,96973981,2021-03-07,"[(2, 'march'), (2, '1st'), (2, 'one'), (1, 'working'), (1, 'spent'), (1, 'drewbarrymoretv'), (1, 'meghan'), (1, 'kind'), (1, 'reiagz'), (1, 'no_one')]"
