,user_id,time,matrix
0,23846632,2021-02-28,"[7, 6, 5, 5, 5, 4, 3, 3, 3, 3]"
1,23846632,2021-03-31,"[19, 5, 5, 5, 5, 5, 4, 4, 4, 4]"
2,71010692,2021-03-31,"[5, 4, 3, 3, 3, 3, 3, 3, 3, 2]"
3,73653137,2021-02-28,"[1, 1, 1, 1, 1, 0, 0, 0, 0, 0]"
4,77228729,2021-02-28,"[19, 19, 17, 17, 15, 13, 12, 12, 11, 10]"
5,77228729,2021-03-31,"[8, 5, 5, 5, 5, 4, 4, 4, 4, 3]"
6,96973981,2021-02-28,"[4, 2, 2, 2, 1, 1, 1, 1, 1, 1]"
7,96973981,2021-03-31,"[2, 2, 2, 2, 1, 1, 1, 1, 1, 1]"
8,184671594,2020-10-31,"[8, 8, 5, 4, 4, 4, 4, 4, 4, 3]"
9,184671594,2020-11-30,"[6, 4, 3, 3, 3, 2, 2, 2, 2, 2]"
10,184671594,2020-12-31,"[8, 7, 6, 5, 5, 5, 5, 4, 4, 4]"
11,184671594,2021-01-31,"[6, 5, 5, 4, 4, 4, 3, 3, 3, 3]"
12,184671594,2021-02-28,"[7, 4, 3, 2, 2, 2, 2, 2, 2, 2]"
13,184671594,2021-03-31,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
14,220082108,2021-03-31,"[2, 2, 1, 1, 1, 1, 1, 1, 1, 0]"
16,223135996,2021-03-31,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
15,223135996,2021-02-28,"[3, 2, 1, 1, 1, 1, 1, 1, 1, 1]"
17,574646646,2021-02-28,"[19, 14, 14, 13, 13, 12, 12, 12, 12, 11]"
18,574646646,2021-03-31,"[8, 6, 5, 5, 5, 5, 5, 5, 5, 5]"
19,1317169154,2021-02-28,"[21, 12, 11, 11, 10, 10, 10, 9, 7, 7]"
20,1317169154,2021-03-31,"[5, 5, 5, 4, 3, 3, 3, 3, 3, 2]"
21,2256849367,2021-02-28,"[19, 16, 16, 14, 11, 11, 10, 10, 9, 9]"
22,2256849367,2021-03-31,"[8, 5, 4, 4, 4, 3, 3, 3, 3, 3]"
23,3225999715,2021-02-28,"[31, 9, 9, 9, 9, 9, 9, 9, 9, 9]"
24,3225999715,2021-03-31,"[19, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
36,708779794972811264,2021-03-31,"[2, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
35,708779794972811264,2021-02-28,"[2, 2, 1, 1, 1, 1, 1, 1, 1, 1]"
34,708779794972811264,2021-01-31,"[1, 1, 1, 1, 0, 0, 0, 0, 0, 0]"
33,708779794972811264,2020-12-31,"[1, 1, 1, 1, 1, 1, 0, 0, 0, 0]"
32,708779794972811264,2020-11-30,"[1, 1, 1, 0, 0, 0, 0, 0, 0, 0]"
31,708779794972811264,2020-10-31,"[2, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
30,708779794972811264,2020-09-30,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
29,708779794972811264,2020-08-31,"[2, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
28,708779794972811264,2020-07-31,"[4, 2, 1, 1, 1, 1, 1, 1, 1, 1]"
27,708779794972811264,2020-06-30,"[2, 2, 2, 1, 1, 1, 1, 1, 1, 1]"
26,708779794972811264,2020-05-31,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 0]"
25,708779794972811264,2020-04-30,"[2, 2, 2, 1, 1, 1, 1, 1, 1, 1]"
37,778252179899576320,2020-09-30,"[12, 12, 7, 6, 6, 4, 4, 4, 4, 3]"
38,778252179899576320,2020-10-31,"[16, 13, 12, 12, 11, 9, 9, 7, 6, 5]"
39,778252179899576320,2020-11-30,"[9, 7, 7, 6, 5, 4, 4, 4, 4, 3]"
40,778252179899576320,2020-12-31,"[4, 3, 3, 2, 2, 2, 2, 2, 2, 1]"
41,778252179899576320,2021-01-31,"[11, 8, 8, 7, 6, 6, 6, 5, 4, 4]"
42,778252179899576320,2021-02-28,"[9, 6, 6, 5, 5, 4, 4, 4, 4, 4]"
43,778252179899576320,2021-03-31,"[8, 5, 3, 2, 2, 2, 2, 2, 2, 2]"
45,805394952834449408,2021-02-28,"[20, 15, 12, 9, 7, 7, 6, 6, 5, 5]"
46,805394952834449408,2021-03-31,"[7, 5, 4, 3, 3, 3, 3, 3, 2, 2]"
44,805394952834449408,2021-01-31,"[6, 4, 4, 4, 4, 4, 4, 3, 2, 2]"
47,836949040684228608,2021-03-31,"[8, 5, 4, 4, 3, 3, 3, 3, 3, 3]"
48,858169121942499328,2021-03-31,"[1, 1, 1, 1, 0, 0, 0, 0, 0, 0]"
49,867041159608115200,2021-01-31,"[3, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
50,867041159608115200,2021-02-28,"[18, 17, 17, 16, 13, 11, 9, 9, 9, 8]"
51,867041159608115200,2021-03-31,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
52,914152679168991232,2021-03-31,"[5, 4, 4, 3, 3, 3, 3, 3, 3, 3]"
53,935685013764485121,2021-03-31,"[2, 1, 1, 1, 1, 1, 1, 0, 0, 0]"
54,959914482704281601,2020-08-31,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
55,959914482704281601,2020-09-30,"[1, 1, 1, 1, 0, 0, 0, 0, 0, 0]"
56,971899362107273216,2021-02-28,"[6, 5, 4, 4, 3, 3, 3, 3, 3, 3]"
57,971899362107273216,2021-03-31,"[12, 7, 7, 6, 5, 5, 5, 4, 4, 4]"
58,983350725655781377,2021-03-31,"[3, 2, 2, 2, 1, 1, 1, 1, 1, 1]"
64,1027561263163957249,2021-03-31,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
62,1027561263163957249,2020-10-31,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
63,1027561263163957249,2021-01-31,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
60,1027561263163957249,2020-06-30,"[2, 1, 1, 1, 1, 1, 1, 0, 0, 0]"
61,1027561263163957249,2020-07-31,"[2, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
59,1027561263163957249,2020-05-31,"[1, 1, 1, 1, 1, 1, 0, 0, 0, 0]"
65,1039241305312911362,2021-02-28,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
66,1039241305312911362,2021-03-31,"[2, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
67,1046746846691876864,2021-03-31,"[5, 5, 4, 4, 4, 4, 4, 4, 4, 4]"
73,1057789761170087936,2021-02-28,"[15, 12, 9, 8, 8, 6, 5, 5, 4, 3]"
72,1057789761170087936,2021-01-31,"[21, 16, 9, 8, 6, 5, 5, 5, 4, 4]"
71,1057789761170087936,2020-12-31,"[20, 15, 7, 7, 6, 5, 5, 4, 3, 3]"
74,1057789761170087936,2021-03-31,"[4, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
69,1057789761170087936,2020-10-31,"[13, 8, 6, 5, 5, 3, 3, 3, 3, 3]"
68,1057789761170087936,2020-09-30,"[2, 2, 2, 2, 1, 1, 1, 1, 1, 1]"
